outlying,convex,skinny,monotonic,skewed,clumpy,striated,sparse,RMSE,DTM_KL01,Sammon,Trustworthiness,Steadiness,mdp,cnt
True,True,True,True,True,True,True,False,False,True,False,True,True,,0
True,True,True,True,True,True,True,False,False,True,False,True,False,,0
True,True,True,True,True,True,True,False,False,True,False,False,True,,0
True,True,True,True,True,True,True,False,False,True,False,False,False,,0
True,True,True,True,True,True,True,False,False,False,True,True,True,,0
True,True,True,True,True,True,True,False,False,False,True,True,False,,0
True,True,True,True,True,True,True,False,False,False,True,False,True,,0
True,True,True,True,True,True,True,False,False,False,True,False,False,,0
True,True,True,True,True,True,True,False,False,False,False,True,True,,0
True,True,True,True,True,True,True,False,False,False,False,True,False,,0
True,True,True,True,True,True,True,False,False,False,False,False,True,,0
True,True,True,True,True,True,True,False,False,False,False,False,False,,0
True,True,True,True,True,True,False,True,True,True,True,True,True,,0
True,True,True,True,True,True,False,True,True,True,True,True,False,,0
True,True,True,True,True,True,False,True,True,True,True,False,True,,0
True,True,True,True,True,True,False,True,True,True,True,False,False,,0
True,True,True,True,True,True,False,True,True,True,False,True,True,,0
True,True,True,True,True,True,False,True,True,True,False,True,False,,0
True,True,True,True,True,True,False,True,True,True,False,False,True,,0
True,True,True,True,True,True,False,True,True,True,False,False,False,,0
True,True,True,True,True,True,False,True,True,False,True,True,True,,0
True,True,True,True,True,True,False,True,True,False,True,True,False,,0
True,True,True,True,True,True,False,True,True,False,True,False,True,,0
True,True,True,True,True,True,False,True,True,False,True,False,False,,0
True,True,True,True,True,True,False,True,True,False,False,True,True,,0
True,True,True,True,True,True,False,True,True,False,False,True,False,,0
True,True,True,True,True,True,False,True,True,False,False,False,True,,0
True,True,True,True,True,True,False,True,True,False,False,False,False,,0
True,True,True,True,True,True,False,True,False,True,True,True,True,,0
True,True,True,True,True,True,False,True,False,True,True,True,False,,0
True,True,True,True,True,True,False,True,False,True,True,False,True,,0
True,True,True,True,True,True,False,True,False,True,True,False,False,,0
True,True,True,True,True,True,False,True,False,True,False,True,True,,0
True,True,True,True,True,True,False,True,False,True,False,True,False,,0
True,True,True,True,True,True,False,True,False,True,False,False,True,,0
True,True,True,True,True,True,False,True,False,True,False,False,False,,0
True,True,True,True,True,True,False,True,False,False,True,True,True,,0
True,True,True,True,True,True,False,True,False,False,True,True,False,,0
True,True,True,True,True,True,False,True,False,False,True,False,True,,0
True,True,True,True,True,True,False,True,False,False,True,False,False,,0
True,True,True,True,True,True,False,True,False,False,False,True,True,,0
True,True,True,True,True,True,False,True,False,False,False,True,False,,0
True,True,True,True,True,True,False,True,False,False,False,False,True,,0
True,True,True,True,True,True,False,True,False,False,False,False,False,,0
True,True,True,True,True,True,False,False,True,True,True,True,True,,0
True,True,True,True,True,True,False,False,True,True,True,True,False,,0
True,True,True,True,True,True,False,False,True,True,True,False,True,,0
True,True,True,True,True,True,False,False,True,True,True,False,False,,0
True,True,True,True,True,True,False,False,True,True,False,True,True,,0
True,True,True,True,True,True,False,False,True,True,False,True,False,,0
True,True,True,True,True,True,False,False,True,True,False,False,True,,0
True,True,True,True,True,True,False,False,True,True,False,False,False,,0
True,True,True,True,True,True,False,False,True,False,True,True,True,boston_10/olive_15/,2
True,True,True,True,True,True,False,False,True,False,True,True,False,,0
True,True,True,True,True,True,False,False,True,False,True,False,True,,0
True,True,True,True,True,True,False,False,True,False,True,False,False,,0
True,True,True,True,True,True,False,False,True,False,False,True,True,,0
True,True,True,True,True,True,False,False,True,False,False,True,False,breastcancerwisconsinprognostic_53/,1
True,True,True,True,True,True,False,False,True,False,False,False,True,,0
True,True,True,True,True,True,False,False,True,False,False,False,False,,0
True,True,True,True,True,True,False,False,False,True,True,True,True,,0
True,True,True,True,True,True,False,False,False,True,True,True,False,,0
True,True,True,True,True,True,False,False,False,True,True,False,True,,0
True,True,True,True,True,True,False,False,False,True,True,False,False,,0
True,True,True,True,True,True,False,False,False,True,False,True,True,,0
True,True,True,True,True,True,False,False,False,True,False,True,False,,0
True,True,True,True,True,True,False,False,False,True,False,False,True,,0
True,True,True,True,True,True,False,False,False,True,False,False,False,,0
True,True,True,True,True,True,False,False,False,False,True,True,True,,0
True,True,True,True,True,True,False,False,False,False,True,True,False,,0
True,True,True,True,True,True,False,False,False,False,True,False,True,,0
True,True,True,True,True,True,False,False,False,False,True,False,False,,0
True,True,True,True,True,True,False,False,False,False,False,True,True,wine_37/,1
True,True,True,True,True,True,False,False,False,False,False,True,False,,0
True,True,True,True,True,True,False,False,False,False,False,False,True,,0
True,True,True,True,True,True,False,False,False,False,False,False,False,,0
True,True,True,True,True,False,True,True,True,True,True,True,True,,0
True,True,True,True,True,False,True,True,True,True,True,True,False,,0
True,True,True,True,True,False,True,True,True,True,True,False,True,,0
True,True,True,True,True,False,True,True,True,True,True,False,False,,0
True,True,True,True,True,False,True,True,True,True,False,True,True,,0
True,True,True,True,True,False,True,True,True,True,False,True,False,,0
True,True,True,True,True,False,True,True,True,True,False,False,True,,0
True,True,True,True,True,False,True,True,True,True,False,False,False,,0
True,True,True,True,True,False,True,True,True,False,True,True,True,,0
True,True,True,True,True,False,True,True,True,False,True,True,False,,0
True,True,True,True,True,False,True,True,True,False,True,False,True,,0
True,True,True,True,True,False,True,True,True,False,True,False,False,,0
True,True,True,True,True,False,True,True,True,False,False,True,True,,0
True,True,True,True,True,False,True,True,True,False,False,True,False,,0
True,True,True,True,True,False,True,True,True,False,False,False,True,,0
True,True,True,True,True,False,True,True,True,False,False,False,False,,0
True,True,True,True,True,False,True,True,False,True,True,True,True,,0
True,True,True,True,True,False,True,True,False,True,True,True,False,,0
True,True,True,True,True,False,True,True,False,True,True,False,True,,0
True,True,True,True,True,False,True,True,False,True,True,False,False,,0
True,True,True,True,True,False,True,True,False,True,False,True,True,,0
True,True,True,True,True,False,True,True,False,True,False,True,False,,0
True,True,True,True,True,False,True,True,False,True,False,False,True,,0
True,True,True,True,True,False,True,True,False,True,False,False,False,,0
True,True,True,True,True,False,True,True,False,False,True,True,True,,0
True,True,True,True,True,False,True,True,False,False,True,True,False,,0
True,True,True,True,True,False,True,True,False,False,True,False,True,,0
True,True,True,True,True,False,True,True,False,False,True,False,False,,0
True,True,True,True,True,False,True,True,False,False,False,True,True,,0
True,True,True,True,True,False,True,True,False,False,False,True,False,,0
True,True,True,True,True,False,True,True,False,False,False,False,True,,0
True,True,True,True,True,False,True,True,False,False,False,False,False,,0
True,True,True,True,True,False,True,False,True,True,True,True,True,,0
True,True,True,True,True,False,True,False,True,True,True,True,False,drybean_14/,1
True,True,True,True,True,False,True,False,True,True,True,False,True,,0
True,True,True,True,True,False,True,False,True,True,True,False,False,,0
True,True,True,True,True,False,True,False,True,True,False,True,True,,0
True,True,True,True,True,False,True,False,True,True,False,True,False,,0
True,True,True,True,True,False,True,False,True,True,False,False,True,,0
True,True,True,True,True,False,True,False,True,True,False,False,False,,0
True,True,True,True,True,False,True,False,True,False,True,True,True,,0
True,True,True,True,True,False,True,False,True,False,True,True,False,,0
True,True,True,True,True,False,True,False,True,False,True,False,True,,0
True,True,True,True,True,False,True,False,True,False,True,False,False,world12d_45/world12d_46/,2
True,True,True,True,True,False,True,False,True,False,False,True,True,boston_53/breastcancerwisconsinprognostic_54/,2
True,True,True,True,True,False,True,False,True,False,False,True,False,,0
True,True,True,True,True,False,True,False,True,False,False,False,True,,0
True,True,True,True,True,False,True,False,True,False,False,False,False,,0
True,True,True,True,True,False,True,False,False,True,True,True,True,,0
True,True,True,True,True,False,True,False,False,True,True,True,False,,0
True,True,True,True,True,False,True,False,False,True,True,False,True,,0
True,True,True,True,True,False,True,False,False,True,True,False,False,,0
True,True,True,True,True,False,True,False,False,True,False,True,True,,0
True,True,True,True,True,False,True,False,False,True,False,True,False,,0
True,True,True,True,True,False,True,False,False,True,False,False,True,,0
True,True,True,True,True,False,True,False,False,True,False,False,False,,0
True,True,True,True,True,False,True,False,False,False,True,True,True,,0
True,True,True,True,True,False,True,False,False,False,True,True,False,,0
True,True,True,True,True,False,True,False,False,False,True,False,True,,0
True,True,True,True,True,False,True,False,False,False,True,False,False,,0
True,True,True,True,True,False,True,False,False,False,False,True,True,dermatology_12/,1
True,True,True,True,True,False,True,False,False,False,False,True,False,,0
True,True,True,True,True,False,True,False,False,False,False,False,True,,0
True,True,True,True,True,False,True,False,False,False,False,False,False,,0
True,True,True,True,True,False,False,True,True,True,True,True,True,,0
True,True,True,True,True,False,False,True,True,True,True,True,False,,0
True,True,True,True,True,False,False,True,True,True,True,False,True,,0
True,True,True,True,True,False,False,True,True,True,True,False,False,,0
True,True,True,True,True,False,False,True,True,True,False,True,True,,0
True,True,True,True,True,False,False,True,True,True,False,True,False,,0
True,True,True,True,True,False,False,True,True,True,False,False,True,,0
True,True,True,True,True,False,False,True,True,True,False,False,False,,0
True,True,True,True,True,False,False,True,True,False,True,True,True,boston_12/breastcancercoimbra_14/breastcancercoimbra_16/breastcancercoimbra_19/wine_11/wine_19/,6
True,True,True,True,True,False,False,True,True,False,True,True,False,,0
True,True,True,True,True,False,False,True,True,False,True,False,True,,0
True,True,True,True,True,False,False,True,True,False,True,False,False,,0
True,True,True,True,True,False,False,True,True,False,False,True,True,,0
True,True,True,True,True,False,False,True,True,False,False,True,False,,0
True,True,True,True,True,False,False,True,True,False,False,False,True,,0
True,True,True,True,True,False,False,True,True,False,False,False,False,,0
True,True,True,True,True,False,False,True,False,True,True,True,True,,0
True,True,True,True,True,False,False,True,False,True,True,True,False,,0
True,True,True,True,True,False,False,True,False,True,True,False,True,,0
True,True,True,True,True,False,False,True,False,True,True,False,False,,0
True,True,True,True,True,False,False,True,False,True,False,True,True,,0
True,True,True,True,True,False,False,True,False,True,False,True,False,,0
True,True,True,True,True,False,False,True,False,True,False,False,True,glassidentification_17/,1
True,True,True,True,True,False,False,True,False,True,False,False,False,,0
True,True,True,True,True,False,False,True,False,False,True,True,True,,0
True,True,True,True,True,False,False,True,False,False,True,True,False,,0
True,True,True,True,True,False,False,True,False,False,True,False,True,,0
True,True,True,True,True,False,False,True,False,False,True,False,False,,0
True,True,True,True,True,False,False,True,False,False,False,True,True,dermatology_16/,1
True,True,True,True,True,False,False,True,False,False,False,True,False,,0
True,True,True,True,True,False,False,True,False,False,False,False,True,,0
True,True,True,True,True,False,False,True,False,False,False,False,False,,0
True,True,True,True,True,False,False,False,True,True,True,True,True,,0
True,True,True,True,True,False,False,False,True,True,True,True,False,,0
True,True,True,True,True,False,False,False,True,True,True,False,True,,0
True,True,True,True,True,False,False,False,True,True,True,False,False,,0
True,True,True,True,True,False,False,False,True,True,False,True,True,,0
True,True,True,True,True,False,False,False,True,True,False,True,False,,0
True,True,True,True,True,False,False,False,True,True,False,False,True,,0
True,True,True,True,True,False,False,False,True,True,False,False,False,,0
True,True,True,True,True,False,False,False,True,False,True,True,True,breastcancerwisconsinprognostic_17/breastcancerwisconsinprognostic_18/olive_10/olive_14/olive_17/,5
True,True,True,True,True,False,False,False,True,False,True,True,False,,0
True,True,True,True,True,False,False,False,True,False,True,False,True,,0
True,True,True,True,True,False,False,False,True,False,True,False,False,,0
True,True,True,True,True,False,False,False,True,False,False,True,True,,0
True,True,True,True,True,False,False,False,True,False,False,True,False,,0
True,True,True,True,True,False,False,False,True,False,False,False,True,,0
True,True,True,True,True,False,False,False,True,False,False,False,False,olive_54/,1
True,True,True,True,True,False,False,False,False,True,True,True,True,,0
True,True,True,True,True,False,False,False,False,True,True,True,False,,0
True,True,True,True,True,False,False,False,False,True,True,False,True,,0
True,True,True,True,True,False,False,False,False,True,True,False,False,,0
True,True,True,True,True,False,False,False,False,True,False,True,True,,0
True,True,True,True,True,False,False,False,False,True,False,True,False,,0
True,True,True,True,True,False,False,False,False,True,False,False,True,,0
True,True,True,True,True,False,False,False,False,True,False,False,False,,0
True,True,True,True,True,False,False,False,False,False,True,True,True,,0
True,True,True,True,True,False,False,False,False,False,True,True,False,,0
True,True,True,True,True,False,False,False,False,False,True,False,True,,0
True,True,True,True,True,False,False,False,False,False,True,False,False,,0
True,True,True,True,True,False,False,False,False,False,False,True,True,,0
True,True,True,True,True,False,False,False,False,False,False,True,False,,0
True,True,True,True,True,False,False,False,False,False,False,False,True,,0
True,True,True,True,True,False,False,False,False,False,False,False,False,,0
True,True,True,True,False,True,True,True,True,True,True,True,True,,0
True,True,True,True,False,True,True,True,True,True,True,True,False,,0
True,True,True,True,False,True,True,True,True,True,True,False,True,,0
True,True,True,True,False,True,True,True,True,True,True,False,False,,0
True,True,True,True,False,True,True,True,True,True,False,True,True,,0
True,True,True,True,False,True,True,True,True,True,False,True,False,,0
True,True,True,True,False,True,True,True,True,True,False,False,True,,0
True,True,True,True,False,True,True,True,True,True,False,False,False,,0
True,True,True,True,False,True,True,True,True,False,True,True,True,,0
True,True,True,True,False,True,True,True,True,False,True,True,False,,0
True,True,True,True,False,True,True,True,True,False,True,False,True,,0
True,True,True,True,False,True,True,True,True,False,True,False,False,,0
True,True,True,True,False,True,True,True,True,False,False,True,True,,0
True,True,True,True,False,True,True,True,True,False,False,True,False,,0
True,True,True,True,False,True,True,True,True,False,False,False,True,,0
True,True,True,True,False,True,True,True,True,False,False,False,False,,0
True,True,True,True,False,True,True,True,False,True,True,True,True,,0
True,True,True,True,False,True,True,True,False,True,True,True,False,,0
True,True,True,True,False,True,True,True,False,True,True,False,True,,0
True,True,True,True,False,True,True,True,False,True,True,False,False,,0
True,True,True,True,False,True,True,True,False,True,False,True,True,,0
True,True,True,True,False,True,True,True,False,True,False,True,False,,0
True,True,True,True,False,True,True,True,False,True,False,False,True,,0
True,True,True,True,False,True,True,True,False,True,False,False,False,,0
True,True,True,True,False,True,True,True,False,False,True,True,True,,0
True,True,True,True,False,True,True,True,False,False,True,True,False,,0
True,True,True,True,False,True,True,True,False,False,True,False,True,,0
True,True,True,True,False,True,True,True,False,False,True,False,False,,0
True,True,True,True,False,True,True,True,False,False,False,True,True,,0
True,True,True,True,False,True,True,True,False,False,False,True,False,,0
True,True,True,True,False,True,True,True,False,False,False,False,True,,0
True,True,True,True,False,True,True,True,False,False,False,False,False,,0
True,True,True,True,False,True,True,False,True,True,True,True,True,,0
True,True,True,True,False,True,True,False,True,True,True,True,False,,0
True,True,True,True,False,True,True,False,True,True,True,False,True,,0
True,True,True,True,False,True,True,False,True,True,True,False,False,,0
True,True,True,True,False,True,True,False,True,True,False,True,True,,0
True,True,True,True,False,True,True,False,True,True,False,True,False,,0
True,True,True,True,False,True,True,False,True,True,False,False,True,,0
True,True,True,True,False,True,True,False,True,True,False,False,False,,0
True,True,True,True,False,True,True,False,True,False,True,True,True,,0
True,True,True,True,False,True,True,False,True,False,True,True,False,,0
True,True,True,True,False,True,True,False,True,False,True,False,True,,0
True,True,True,True,False,True,True,False,True,False,True,False,False,,0
True,True,True,True,False,True,True,False,True,False,False,True,True,,0
True,True,True,True,False,True,True,False,True,False,False,True,False,boston_52/,1
True,True,True,True,False,True,True,False,True,False,False,False,True,,0
True,True,True,True,False,True,True,False,True,False,False,False,False,,0
True,True,True,True,False,True,True,False,False,True,True,True,True,,0
True,True,True,True,False,True,True,False,False,True,True,True,False,,0
True,True,True,True,False,True,True,False,False,True,True,False,True,,0
True,True,True,True,False,True,True,False,False,True,True,False,False,,0
True,True,True,True,False,True,True,False,False,True,False,True,True,,0
True,True,True,True,False,True,True,False,False,True,False,True,False,,0
True,True,True,True,False,True,True,False,False,True,False,False,True,,0
True,True,True,True,False,True,True,False,False,True,False,False,False,,0
True,True,True,True,False,True,True,False,False,False,True,True,True,,0
True,True,True,True,False,True,True,False,False,False,True,True,False,,0
True,True,True,True,False,True,True,False,False,False,True,False,True,,0
True,True,True,True,False,True,True,False,False,False,True,False,False,,0
True,True,True,True,False,True,True,False,False,False,False,True,True,wine_35/wine_38/,2
True,True,True,True,False,True,True,False,False,False,False,True,False,,0
True,True,True,True,False,True,True,False,False,False,False,False,True,,0
True,True,True,True,False,True,True,False,False,False,False,False,False,,0
True,True,True,True,False,True,False,True,True,True,True,True,True,,0
True,True,True,True,False,True,False,True,True,True,True,True,False,,0
True,True,True,True,False,True,False,True,True,True,True,False,True,,0
True,True,True,True,False,True,False,True,True,True,True,False,False,,0
True,True,True,True,False,True,False,True,True,True,False,True,True,,0
True,True,True,True,False,True,False,True,True,True,False,True,False,,0
True,True,True,True,False,True,False,True,True,True,False,False,True,,0
True,True,True,True,False,True,False,True,True,True,False,False,False,,0
True,True,True,True,False,True,False,True,True,False,True,True,True,breastcancercoimbra_11/breastcancercoimbra_15/,2
True,True,True,True,False,True,False,True,True,False,True,True,False,,0
True,True,True,True,False,True,False,True,True,False,True,False,True,,0
True,True,True,True,False,True,False,True,True,False,True,False,False,,0
True,True,True,True,False,True,False,True,True,False,False,True,True,,0
True,True,True,True,False,True,False,True,True,False,False,True,False,,0
True,True,True,True,False,True,False,True,True,False,False,False,True,,0
True,True,True,True,False,True,False,True,True,False,False,False,False,,0
True,True,True,True,False,True,False,True,False,True,True,True,True,,0
True,True,True,True,False,True,False,True,False,True,True,True,False,,0
True,True,True,True,False,True,False,True,False,True,True,False,True,,0
True,True,True,True,False,True,False,True,False,True,True,False,False,,0
True,True,True,True,False,True,False,True,False,True,False,True,True,,0
True,True,True,True,False,True,False,True,False,True,False,True,False,,0
True,True,True,True,False,True,False,True,False,True,False,False,True,,0
True,True,True,True,False,True,False,True,False,True,False,False,False,,0
True,True,True,True,False,True,False,True,False,False,True,True,True,,0
True,True,True,True,False,True,False,True,False,False,True,True,False,,0
True,True,True,True,False,True,False,True,False,False,True,False,True,,0
True,True,True,True,False,True,False,True,False,False,True,False,False,,0
True,True,True,True,False,True,False,True,False,False,False,True,True,,0
True,True,True,True,False,True,False,True,False,False,False,True,False,,0
True,True,True,True,False,True,False,True,False,False,False,False,True,,0
True,True,True,True,False,True,False,True,False,False,False,False,False,,0
True,True,True,True,False,True,False,False,True,True,True,True,True,,0
True,True,True,True,False,True,False,False,True,True,True,True,False,,0
True,True,True,True,False,True,False,False,True,True,True,False,True,,0
True,True,True,True,False,True,False,False,True,True,True,False,False,,0
True,True,True,True,False,True,False,False,True,True,False,True,True,,0
True,True,True,True,False,True,False,False,True,True,False,True,False,,0
True,True,True,True,False,True,False,False,True,True,False,False,True,,0
True,True,True,True,False,True,False,False,True,True,False,False,False,,0
True,True,True,True,False,True,False,False,True,False,True,True,True,,0
True,True,True,True,False,True,False,False,True,False,True,True,False,,0
True,True,True,True,False,True,False,False,True,False,True,False,True,,0
True,True,True,True,False,True,False,False,True,False,True,False,False,,0
True,True,True,True,False,True,False,False,True,False,False,True,True,,0
True,True,True,True,False,True,False,False,True,False,False,True,False,,0
True,True,True,True,False,True,False,False,True,False,False,False,True,,0
True,True,True,True,False,True,False,False,True,False,False,False,False,,0
True,True,True,True,False,True,False,False,False,True,True,True,True,,0
True,True,True,True,False,True,False,False,False,True,True,True,False,,0
True,True,True,True,False,True,False,False,False,True,True,False,True,,0
True,True,True,True,False,True,False,False,False,True,True,False,False,,0
True,True,True,True,False,True,False,False,False,True,False,True,True,,0
True,True,True,True,False,True,False,False,False,True,False,True,False,,0
True,True,True,True,False,True,False,False,False,True,False,False,True,,0
True,True,True,True,False,True,False,False,False,True,False,False,False,,0
True,True,True,True,False,True,False,False,False,False,True,True,True,,0
True,True,True,True,False,True,False,False,False,False,True,True,False,,0
True,True,True,True,False,True,False,False,False,False,True,False,True,,0
True,True,True,True,False,True,False,False,False,False,True,False,False,,0
True,True,True,True,False,True,False,False,False,False,False,True,True,,0
True,True,True,True,False,True,False,False,False,False,False,True,False,,0
True,True,True,True,False,True,False,False,False,False,False,False,True,,0
True,True,True,True,False,True,False,False,False,False,False,False,False,,0
True,True,True,True,False,False,True,True,True,True,True,True,True,,0
True,True,True,True,False,False,True,True,True,True,True,True,False,,0
True,True,True,True,False,False,True,True,True,True,True,False,True,,0
True,True,True,True,False,False,True,True,True,True,True,False,False,,0
True,True,True,True,False,False,True,True,True,True,False,True,True,,0
True,True,True,True,False,False,True,True,True,True,False,True,False,,0
True,True,True,True,False,False,True,True,True,True,False,False,True,,0
True,True,True,True,False,False,True,True,True,True,False,False,False,,0
True,True,True,True,False,False,True,True,True,False,True,True,True,,0
True,True,True,True,False,False,True,True,True,False,True,True,False,,0
True,True,True,True,False,False,True,True,True,False,True,False,True,,0
True,True,True,True,False,False,True,True,True,False,True,False,False,,0
True,True,True,True,False,False,True,True,True,False,False,True,True,,0
True,True,True,True,False,False,True,True,True,False,False,True,False,,0
True,True,True,True,False,False,True,True,True,False,False,False,True,,0
True,True,True,True,False,False,True,True,True,False,False,False,False,,0
True,True,True,True,False,False,True,True,False,True,True,True,True,ecoli_28/,1
True,True,True,True,False,False,True,True,False,True,True,True,False,,0
True,True,True,True,False,False,True,True,False,True,True,False,True,,0
True,True,True,True,False,False,True,True,False,True,True,False,False,,0
True,True,True,True,False,False,True,True,False,True,False,True,True,,0
True,True,True,True,False,False,True,True,False,True,False,True,False,,0
True,True,True,True,False,False,True,True,False,True,False,False,True,,0
True,True,True,True,False,False,True,True,False,True,False,False,False,echocardiogram_52/,1
True,True,True,True,False,False,True,True,False,False,True,True,True,,0
True,True,True,True,False,False,True,True,False,False,True,True,False,,0
True,True,True,True,False,False,True,True,False,False,True,False,True,,0
True,True,True,True,False,False,True,True,False,False,True,False,False,,0
True,True,True,True,False,False,True,True,False,False,False,True,True,,0
True,True,True,True,False,False,True,True,False,False,False,True,False,,0
True,True,True,True,False,False,True,True,False,False,False,False,True,,0
True,True,True,True,False,False,True,True,False,False,False,False,False,,0
True,True,True,True,False,False,True,False,True,True,True,True,True,,0
True,True,True,True,False,False,True,False,True,True,True,True,False,,0
True,True,True,True,False,False,True,False,True,True,True,False,True,,0
True,True,True,True,False,False,True,False,True,True,True,False,False,,0
True,True,True,True,False,False,True,False,True,True,False,True,True,,0
True,True,True,True,False,False,True,False,True,True,False,True,False,,0
True,True,True,True,False,False,True,False,True,True,False,False,True,,0
True,True,True,True,False,False,True,False,True,True,False,False,False,,0
True,True,True,True,False,False,True,False,True,False,True,True,True,,0
True,True,True,True,False,False,True,False,True,False,True,True,False,,0
True,True,True,True,False,False,True,False,True,False,True,False,True,,0
True,True,True,True,False,False,True,False,True,False,True,False,False,,0
True,True,True,True,False,False,True,False,True,False,False,True,True,,0
True,True,True,True,False,False,True,False,True,False,False,True,False,,0
True,True,True,True,False,False,True,False,True,False,False,False,True,,0
True,True,True,True,False,False,True,False,True,False,False,False,False,,0
True,True,True,True,False,False,True,False,False,True,True,True,True,,0
True,True,True,True,False,False,True,False,False,True,True,True,False,,0
True,True,True,True,False,False,True,False,False,True,True,False,True,,0
True,True,True,True,False,False,True,False,False,True,True,False,False,,0
True,True,True,True,False,False,True,False,False,True,False,True,True,,0
True,True,True,True,False,False,True,False,False,True,False,True,False,,0
True,True,True,True,False,False,True,False,False,True,False,False,True,,0
True,True,True,True,False,False,True,False,False,True,False,False,False,,0
True,True,True,True,False,False,True,False,False,False,True,True,True,,0
True,True,True,True,False,False,True,False,False,False,True,True,False,,0
True,True,True,True,False,False,True,False,False,False,True,False,True,,0
True,True,True,True,False,False,True,False,False,False,True,False,False,,0
True,True,True,True,False,False,True,False,False,False,False,True,True,,0
True,True,True,True,False,False,True,False,False,False,False,True,False,,0
True,True,True,True,False,False,True,False,False,False,False,False,True,,0
True,True,True,True,False,False,True,False,False,False,False,False,False,,0
True,True,True,True,False,False,False,True,True,True,True,True,True,,0
True,True,True,True,False,False,False,True,True,True,True,True,False,,0
True,True,True,True,False,False,False,True,True,True,True,False,True,,0
True,True,True,True,False,False,False,True,True,True,True,False,False,,0
True,True,True,True,False,False,False,True,True,True,False,True,True,,0
True,True,True,True,False,False,False,True,True,True,False,True,False,,0
True,True,True,True,False,False,False,True,True,True,False,False,True,,0
True,True,True,True,False,False,False,True,True,True,False,False,False,,0
True,True,True,True,False,False,False,True,True,False,True,True,True,,0
True,True,True,True,False,False,False,True,True,False,True,True,False,,0
True,True,True,True,False,False,False,True,True,False,True,False,True,,0
True,True,True,True,False,False,False,True,True,False,True,False,False,,0
True,True,True,True,False,False,False,True,True,False,False,True,True,,0
True,True,True,True,False,False,False,True,True,False,False,True,False,,0
True,True,True,True,False,False,False,True,True,False,False,False,True,,0
True,True,True,True,False,False,False,True,True,False,False,False,False,,0
True,True,True,True,False,False,False,True,False,True,True,True,True,,0
True,True,True,True,False,False,False,True,False,True,True,True,False,,0
True,True,True,True,False,False,False,True,False,True,True,False,True,,0
True,True,True,True,False,False,False,True,False,True,True,False,False,,0
